"lsoa11cd","CAUTH18NM","lsoa11nm","st_areasha","st_lengths","IMD_Rank","IMD_Decile","IMDScore","IMDRank0","IMDDec0","IncScore","IncRank","IncDec","EmpScore","EmpRank","EmpDec","EduScore","EduRank","EduDec","HDDScore","HDDRank","HDDDec","CriScore","CriRank","CriDec","BHSScore","BHSRank","BHSDec","EnvScore","EnvRank","EnvDec","IDCScore","IDCRank","IDCDec","IDOScore","IDORank","IDODec","CYPScore","CYPRank","CYPDec","ASScore","ASRank","ASDec","GBScore","GBRank","GBDec","WBScore","WBRank","WBDec","IndScore","IndRank","IndDec","OutScore","OutRank","OutDec","TotPop","DepChi","Pop16_59","Pop60.","WorkPop"
"E01006463","Liverpool City Region","Knowsley 007C",492213.787636,3967.08645835731,1958,1,51.457,1958,1,0.258,3657,2,0.24,1618,1,34.719,6859,3,2.074,276,1,0.822,5201,2,14.495,23669,8,45.556,2777,1,0.238,7605,3,0.306,4464,2,0.674,6773,3,0.396,7080,3,-0.607,25608,8,0.749,11627,4,1.158,2717,1,0.413,9345,3,2303,439,1448,416,1471.5
"E01006464","Liverpool City Region","Knowsley 007D",1371740.464822,6127.46111301203,5444,2,36.256,5444,2,0.184,7726,3,0.196,3343,2,23.228,11776,4,1.114,3429,2,0.598,7769,3,23.095,13105,4,31.854,7800,3,0.162,12975,4,0.203,9749,3,0.248,12173,4,0.345,11227,4,0.469,8398,3,-0.231,16405,5,0.529,8812,3,0.718,6338,2,1546,192,753,601,779
"E01006465","Liverpool City Region","Knowsley 011A",1085938.3233755,4912.24942817318,16357,5,17.75,16357,5,0.096,16935,6,0.096,13266,5,11.193,20721,7,0.673,7148,3,-0.271,20630,7,19.178,17644,6,19.006,16034,5,0.133,15683,5,0.141,15009,5,-0.358,21836,7,0.279,18359,6,0.547,7405,3,-2.091,26236,8,-0.027,16888,6,0.372,9868,4,1666,318,1044,304,1032.25
"E01006466","Liverpool City Region","Knowsley 007E",317864.2197625,3379.58498598546,9734,3,26.735,9734,3,0.17,8760,3,0.119,9798,3,17.28,15613,5,1.086,3636,2,-0.016,16925,6,11.666,26939,9,34.515,6463,2,0.138,15141,5,0.296,4851,2,0.047,15289,5,0.307,15247,5,-0.253,20125,7,-0.722,19102,6,0.752,6222,2,0.461,8803,3,1585,255,924,406,927.75
"E01006467","Liverpool City Region","Knowsley 008B",290237.5393815,2926.83452236733,106,1,74.863,106,1,0.427,214,1,0.374,67,1,74.292,541,1,2.198,187,1,0.827,5149,2,22.843,13374,5,36.268,5696,2,0.448,720,1,0.458,994,1,1.143,2735,1,0.617,118,1,-0.129,17951,6,1.717,7835,3,0.785,5847,2,0.557,7820,3,1259,269,748,242,734.25
"E01006470","Liverpool City Region","Knowsley 008E",252171.3525955,2508.10903160663,277,1,69.975,277,1,0.392,467,1,0.331,213,1,76.283,441,1,1.955,397,1,0.773,5699,2,20.695,15841,5,31.272,8119,3,0.423,1051,1,0.477,809,1,1.345,1630,1,0.591,278,1,-0.331,21401,7,1.681,7958,3,0.597,7970,3,0.501,8409,3,1351,259,795,297,793.75
"E01006471","Liverpool City Region","Knowsley 016A",805213.40552,6148.28737980622,20025,7,13.915,20025,7,0.061,23493,8,0.067,19530,6,12.325,19638,6,0.549,8521,3,0.064,15684,5,10.761,27884,9,23.864,12517,4,0.057,26212,8,0.11,18552,6,-0.279,20665,7,0.286,17543,6,0.03,15149,5,-2.401,27452,9,0.156,14049,5,0.605,7388,3,1440,235,795,410,808.25
"E01006472","Liverpool City Region","Knowsley 014A",567946.2364915,4139.42225364043,16107,5,18.025,16107,5,0.074,20712,7,0.08,16390,5,9.569,22300,7,0.285,11836,4,0.281,12222,4,31.229,6138,2,26.626,10790,4,0.095,20076,7,0.102,19690,6,-0.883,28416,9,0.297,16273,5,1.242,2295,1,-2.141,26461,9,0.188,13498,5,0.823,5463,2,1560,239,858,463,867.75
"E01006473","Liverpool City Region","Knowsley 016B",1500765.527335,6797.03692861088,15079,5,19.203,15079,5,0.064,22807,7,0.072,18296,6,11.704,20229,7,0.485,9258,3,0.743,6016,2,28.137,8310,3,29.608,9044,3,0.079,22377,7,0.086,22330,7,-0.448,23184,8,0.295,16517,6,1.048,3205,1,-2.03,25947,8,0.543,8622,3,0.44,9026,3,1385,213,813,359,828.25
"E01006474","Liverpool City Region","Knowsley 016C",438936.6582705,3555.80755946982,12673,4,22.131,12673,4,0.115,14317,5,0.11,11089,4,13.066,18981,6,1.129,3324,2,0.135,14574,5,7.169,30870,10,25.017,11772,4,0.065,24634,8,0.168,12496,4,-0.132,18290,6,0.277,18559,6,-0.385,22304,7,-1.963,25682,8,0.408,10415,4,0.24,11559,4,1460,201,750,509,756.75
